DGRP	sex	date_collected	time_collected	dev_label	stage	brains_dissected	dissector
D320	male	09/12/2024	13:50	WPPp018hrs		3	Tetsuya
D129	female	09/12/2024	14:00	WPPp018hrs		3	Tetsuya
D406	male	10/12/2024	09:00	WPPp000hrs		3	Tetsuya
D850	female	10/12/2024	08:50	WPPp000hrs		3	Tetsuya
D805	male	10/12/2024	01:45	WPPp006hrs		3	Aaron
D348	female	10/12/2024	02:00	WPPp006hrs		3	Aaron
D383	male	09/12/2024	20:20	WPPp012hrs		3	Tetsuya
D589	female	09/12/2024	20:34	WPPp012hrs		3	Tetsuya
D304	male	09/12/2024	14:28	WPPp018hrs		3	Faredin
D189	female	09/12/2024	14:44	WPPp018hrs		3	Faredin
D324	male	10/12/2024	09:10	WPPp000hrs		3	Faredin
D437	female	10/12/2024	09:05	WPPp000hrs		3	Faredin
D441	male	10/12/2024	02:25	WPPp006hrs		3	Aaron
D382	female	10/12/2024	02:11	WPPp006hrs		3	Aaron
D177	male	09/12/2024	19:45	WPPp012hrs		3	Faredin
D395	female	09/12/2024	20:05	WPPp012hrs		3	Faredin
